target bitrate,avg bitrate,13700k vaapi h264,13700k vaapi h265,13700k vaapi vp9,x264,svtav1 p6 10b tune0,svtav1 p6 10b tune0 vbr,nvenc av1 8bit,svtav1 p8 10b tune0,svtav1 p8 8b tune0,nvenc av1 10b,a770 vaapi h264,a770 vaapi hevc,a770 vaapi 10b hevc,a770 av1 qsv,a770 av1 10bit qsv
500,1166493,-184.5590859,,,,,,,,,,,,,,
1000,1222460,-173.4965966,,,,,,,,,,,,,,
1500,1456083,-149.0390489,,,,,,,,,,,,,,
2000,1841173,-122.4250267,,,,,,,,,,,,,,
2500,2321387,-95.14106884,,,,,,,,,,,,,,
3000,2792970,-76.01610517,,,,,,,,,,,,,,
3500,3292696,-59.20082181,,,,,,,,,,,,,,
4000,3807407,-44.82970704,,,,,,,,,,,,,,
4500,4336505,-33.28262634,,,,,,,,,,,,,,
5000,4837562,-22.19068429,,,,,,,,,,,,,,
5500,5322732,-13.95070195,,,,,,,,,,,,,,
6000,5859360,-6.46821978,,,,,,,,,,,,,,
6500,6387700,-0.10685587,,,,,,,,,,,,,,
7000,6898462,5.01299586,,,,,,,,,,,,,,
7500,7374647,8.81225343,,,,,,,,,,,,,,
8000,7922410,14.55427165,,,,,,,,,,,,,,
8500,8410325,17.43512304,,,,,,,,,,,,,,
500,741566,,-136.1451438,,,,,,,,,,,,,
1000,1046009,,-93.42438812,,,,,,,,,,,,,
1500,1474844,,-63.90471405,,,,,,,,,,,,,
2000,1943893,,-40.72537202,,,,,,,,,,,,,
2500,2441006,,-26.01139121,,,,,,,,,,,,,
3000,2923272,,-15.03235829,,,,,,,,,,,,,
3500,3417244,,-7.00864106,,,,,,,,,,,,,
4000,3926188,,0.44151191,,,,,,,,,,,,,
4500,4458146,,6.42687855,,,,,,,,,,,,,
5000,4951429,,11.01143304,,,,,,,,,,,,,
5500,5437584,,15.41271386,,,,,,,,,,,,,
6000,5953401,,19.23913666,,,,,,,,,,,,,
6500,6465412,,22.46749114,,,,,,,,,,,,,
7000,6968719,,25.38181081,,,,,,,,,,,,,
7500,7470064,,28.7369473,,,,,,,,,,,,,
8000,7999232,,30.51132229,,,,,,,,,,,,,
8500,8469191,,32.88413581,,,,,,,,,,,,,
500,1020347,,,-144.9992092,,,,,,,,,,,,
1000,1230240,,,-119.0493829,,,,,,,,,,,,
1500,1621187,,,-94.91126033,,,,,,,,,,,,
2000,2072519,,,-72.23698004,,,,,,,,,,,,
2500,2571745,,,-52.46688935,,,,,,,,,,,,
3000,3079426,,,-35.84502832,,,,,,,,,,,,
3500,3585832,,,-22.74137905,,,,,,,,,,,,
4000,4105555,,,-12.59362196,,,,,,,,,,,,
4500,4617793,,,-4.34297544,,,,,,,,,,,,
5000,5120694,,,2.49782,,,,,,,,,,,,
5500,5629856,,,8.08015135,,,,,,,,,,,,
6000,6146359,,,12.79944957,,,,,,,,,,,,
6500,6647003,,,16.97686388,,,,,,,,,,,,
7000,7164434,,,20.48308992,,,,,,,,,,,,
7500,7681097,,,23.6524771,,,,,,,,,,,,
8000,8192428,,,26.44776544,,,,,,,,,,,,
8500,8688202,,,28.87891235,,,,,,,,,,,,
500,489052,,,,-279.3939579,,,,,,,,,,,
1000,976862,,,,-182.9697003,,,,,,,,,,,
1500,1467015,,,,-132.0314046,,,,,,,,,,,
2000,1947013,,,,-95.40957139,,,,,,,,,,,
